price,room,bathroom,surface,link,property_type,city,zone
1450000.0,,,,https://immoneuf.avito.ma/fr/unite/4qf?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
700000.0,2.0,1.0,74.0,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_73_m%C2%B2_%C3%A0_Casablanca_56790854.htm,Appartements , Casablanca,Sidi Bernoussi
1800000.0,2.0,2.0,,https://www.avito.ma/fr/californie/appartements/%C3%A0_californie_Appartement_%C3%A0_vendre_90m%C2%B2__56311742.htm,Appartements , Casablanca,Californie
840000.0,3.0,2.0,80.0,https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_ain_sebaa_56569189.htm,Appartements , Casablanca,Ain Sebaa
2250000.0,3.0,3.0,161.0,https://www.avito.ma/fr/palmeraie/appartements/RAK_AN_1057___Appartement_%C3%A0_vendre_%C3%A0_Ennakhil__P____54891145.htm,Appartements , Marrakech,Palmeraie
999999.0,2.0,1.0,100.0,https://www.avito.ma/fr/tabriquet/appartements/Grand_Apparemment_compl%C3%A8tement_r%C3%A9nov%C3%A9__56790848.htm,Appartements , Salé,Tabriquet
2000000.0,6.0,3.0,152.0,https://www.avito.ma/fr/bab_aylan/villas_et_riads/Ryad_de_152m_de_Surface_a_Marrakech__56768767.htm,Villas et Riads , Marrakech,Bab Aylan
2240000.0,,,,https://immoneuf.avito.ma/fr/unite/oPJ?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
820000.0,2.0,1.0,79.0,https://www.avito.ma/fr/ain_sebaa/appartements/___Projet_ZIRIAB_Appartements_79m2_%C3%A0_A%C3%AFn_Sebaa_56286254.htm,Appartements , Casablanca,Ain Sebaa
1092000.0,,,,https://immoneuf.avito.ma/fr/unite/jXa?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
17000000.0,4.0,0.0,200.0,https://www.avito.ma/fr/autre_secteur/villas_et_riads/_Belle_villa_et_caf%C3%A9_a_vendre_a_Oujda_56790822.htm,Villas et Riads , Oujda,Autre secteur
750000.0,,,,https://immoneuf.avito.ma/fr/unite/j8k?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
3500000.0,4.0,3.0,260.0,https://www.avito.ma/fr/route_d_amezmiz/villas_et_riads/Villa_moderne_a_5_minutes_de_Morocco_mall__56322444.htm,Villas et Riads , Marrakech,Route d'Amezmiz
820000.0,2.0,1.0,79.0,https://www.avito.ma/fr/ain_sebaa/appartements/___Projet_ZIRIAB_Appartements_79m2_%C3%A0_A%C3%AFn_Sebaa_56286254.htm,Appartements , Casablanca,Ain Sebaa
17000000.0,4.0,0.0,200.0,https://www.avito.ma/fr/autre_secteur/villas_et_riads/_Belle_villa_et_caf%C3%A9_a_vendre_a_Oujda_56790822.htm,Villas et Riads , Oujda,Autre secteur
1092000.0,,,,https://immoneuf.avito.ma/fr/unite/jUy?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
585000.0,2.0,2.0,124.0,https://www.avito.ma/fr/wafa/appartements/Appartement_%C3%A0_vendre_de_68_%C3%A0_124m%C2%B2_%C3%A0_Mohammedia_49351145.htm,Appartements , Mohammedia,Wafa
650000.0,2.0,1.0,66.0,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_dans_r%C3%A9sidence_priv%C3%A9e_%C3%A0_vendre_56394752.htm,Appartements , Casablanca,Aïn Borja
1265500.0,,,,https://immoneuf.avito.ma/fr/unite/j08?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
